	model	dataset	scaler	actor_zscore	features_mode	feature_group	is_top	features_json	model_params_json	accuracy	f1	f1_macro	mcc	tp	tn	fp	fn	roc_auc	average_precision
0	elliptic_envelope	savee	robust	True	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.77	0.84	0.72	0.45	71.0	21.0	9.0	19.0	0.81	0.9
1	elliptic_envelope	savee	robust	True	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.82	0.89	0.72	0.48	86.0	13.0	17.0	4.0	0.95	0.98
2	elliptic_envelope	savee	robust	True	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.84	0.9	0.78	0.56	83.0	18.0	12.0	7.0	0.84	0.92
3	elliptic_envelope	savee	robust	True	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.34	0.26	0.33	0.07	14.0	27.0	3.0	76.0	0.58	0.81
4	elliptic_envelope	savee	robust	False	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.78	0.84	0.75	0.52	70.0	24.0	6.0	20.0	0.81	0.9
5	elliptic_envelope	savee	robust	False	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.8	0.88	0.65	0.38	87.0	9.0	21.0	3.0	0.94	0.98
6	elliptic_envelope	savee	robust	False	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.77	0.83	0.73	0.48	69.0	23.0	7.0	21.0	0.8	0.9
7	elliptic_envelope	savee	robust	False	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.32	0.2	0.3	0.06	10.0	28.0	2.0	80.0	0.58	0.82
8	elliptic_envelope	savee	standard	True	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.73	0.84	0.52	0.1	84.0	4.0	26.0	6.0	0.78	0.89
9	elliptic_envelope	savee	standard	True	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.82	0.89	0.72	0.48	86.0	13.0	17.0	4.0	0.95	0.98
10	elliptic_envelope	savee	standard	True	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.77	0.86	0.54	0.22	88.0	4.0	26.0	2.0	0.81	0.91
11	elliptic_envelope	savee	standard	True	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.34	0.26	0.33	0.07	14.0	27.0	3.0	76.0	0.58	0.81
12	elliptic_envelope	savee	standard	False	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.76	0.84	0.65	0.31	79.0	12.0	18.0	11.0	0.77	0.89
13	elliptic_envelope	savee	standard	False	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.8	0.88	0.65	0.38	87.0	9.0	21.0	3.0	0.94	0.98
14	elliptic_envelope	savee	standard	False	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.8	0.88	0.69	0.4	84.0	12.0	18.0	6.0	0.84	0.92
