	model	dataset	scaler	actor_zscore	features_mode	feature_group	is_top	features_json	model_params_json	accuracy	f1	f1_macro	mcc	tp	tn	fp	fn	roc_auc	average_precision
1297	logistic_regression	savee	robust	True	explicit	all	20	"{""columns"": [""spectral_contrast_7_mean"", ""mfcc_delta2_13_std"", ""mfcc_delta2_7_std"", ""mfcc_5_mean"", ""chroma_11_mean"", ""mfcc_2_mean"", ""chroma_6_mean"", ""mfcc_11_mean"", ""F0_mean"", ""mfcc_delta2_12_std"", ""zcr_mean"", ""mfcc_delta_12_std"", ""spectral_contrast_2_mean"", ""mfcc_10_mean"", ""energy_mean"", ""hnr"", ""mfcc_1_std"", ""mfcc_1_mean"", ""mfcc_delta_5_mean"", ""jitter""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.72	0.84	0.49	0.05	84.0	3.0	27.0	6.0	0.77	0.92
1302	logistic_regression	savee	robust	False	explicit	all	20	"{""columns"": [""mfcc_delta2_7_std"", ""mfcc_2_mean"", ""F0_mean"", ""mfcc_delta2_1_mean"", ""chroma_11_mean"", ""spectral_contrast_2_mean"", ""mfcc_delta2_13_std"", ""mfcc_5_mean"", ""chroma_6_mean"", ""mfcc_11_mean"", ""hnr"", ""spec_centroid_mean"", ""zcr_mean"", ""mfcc_1_std"", ""chroma_10_mean"", ""mfcc_delta2_12_std"", ""energy_std"", ""mfcc_10_mean"", ""mfcc_delta2_10_std"", ""mfcc_delta_12_std""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.74	0.85	0.43	-0.05	89.0	0.0	30.0	1.0	0.88	0.97
1307	logistic_regression	savee	standard	True	explicit	all	20	"{""columns"": [""spectral_contrast_7_mean"", ""mfcc_delta2_13_std"", ""mfcc_delta2_7_std"", ""chroma_11_mean"", ""mfcc_5_mean"", ""mfcc_2_mean"", ""mfcc_delta_12_std"", ""chroma_6_mean"", ""mfcc_10_mean"", ""mfcc_11_mean"", ""spectral_contrast_2_mean"", ""mfcc_delta2_12_std"", ""F0_mean"", ""mfcc_1_mean"", ""jitter"", ""mfcc_1_std"", ""mfcc_12_std"", ""mfcc_delta2_1_mean"", ""mfcc_7_mean"", ""mfcc_delta_5_mean""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.73	0.84	0.52	0.1	84.0	4.0	26.0	6.0	0.79	0.93
1312	logistic_regression	savee	standard	False	explicit	all	20	"{""columns"": [""mfcc_delta2_7_std"", ""chroma_11_mean"", ""mfcc_2_mean"", ""mfcc_delta2_13_std"", ""mfcc_11_mean"", ""mfcc_5_mean"", ""chroma_6_mean"", ""spectral_contrast_2_mean"", ""F0_mean"", ""mfcc_delta_12_std"", ""mfcc_delta2_1_mean"", ""jitter"", ""spec_centroid_mean"", ""mfcc_1_std"", ""mfcc_6_std"", ""mfcc_10_mean"", ""chroma_10_mean"", ""mfcc_13_std"", ""mfcc_delta2_10_std"", ""spectral_contrast_7_mean""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.75	0.86	0.43	0.0	90.0	0.0	30.0	0.0	0.86	0.96
1317	logistic_regression	savee	none	True	explicit	all	20	"{""columns"": [""mfcc_delta2_7_std"", ""spectral_contrast_6_mean"", ""energy_mean"", ""spectral_contrast_7_mean"", ""mfcc_5_mean"", ""mfcc_delta2_13_std"", ""spectral_contrast_2_mean"", ""mfcc_delta_12_std"", ""F0_mean"", ""mfcc_7_mean"", ""mfcc_2_std"", ""chroma_6_mean"", ""mfcc_delta2_12_std"", ""mfcc_delta2_6_std"", ""mfcc_delta2_2_mean"", ""chroma_11_mean"", ""mfcc_delta_4_mean"", ""mfcc_11_std"", ""spec_centroid_mean"", ""mfcc_8_mean""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.72	0.83	0.49	0.03	83.0	3.0	27.0	7.0	0.87	0.96
1322	logistic_regression	savee	none	False	explicit	all	20	"{""columns"": [""spectral_contrast_2_mean"", ""spectral_contrast_6_mean"", ""mfcc_12_std"", ""mfcc_delta2_7_std"", ""spectral_contrast_7_mean"", ""mfcc_10_std"", ""mfcc_5_mean"", ""spectral_contrast_4_mean"", ""mfcc_delta_1_std"", ""mfcc_delta_12_std"", ""mfcc_13_std"", ""spectral_contrast_1_mean"", ""mfcc_7_mean"", ""mfcc_13_mean"", ""mfcc_delta2_6_std"", ""mfcc_delta2_3_std"", ""hnr"", ""mfcc_2_std"", ""mfcc_10_mean"", ""mfcc_delta2_1_std""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.72	0.83	0.44	-0.04	85.0	1.0	29.0	5.0	0.88	0.97
1327	logistic_regression	ravdess	robust	True	explicit	all	20	"{""columns"": [""F0_mean"", ""energy_std"", ""energy_mean"", ""mfcc_delta_5_std"", ""spectral_contrast_6_mean"", ""zcr_mean"", ""mfcc_2_mean"", ""mfcc_1_mean"", ""mfcc_delta_13_std"", ""F0_std"", ""mfcc_delta_7_std"", ""mfcc_5_mean"", ""mfcc_3_mean"", ""mfcc_13_std"", ""mfcc_delta2_13_std"", ""mfcc_5_std"", ""mfcc_2_std"", ""mfcc_4_mean"", ""mfcc_6_mean"", ""mfcc_delta2_8_std""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.36	0.47	0.32	0.17	87.0	20.0	0.0	193.0	0.8	0.98
1332	logistic_regression	ravdess	robust	False	explicit	all	20	"{""columns"": [""mfcc_7_std"", ""mfcc_delta_5_std"", ""mfcc_delta_4_std"", ""mfcc_delta2_3_std"", ""spectral_contrast_2_mean"", ""mfcc_2_std"", ""zcr_mean"", ""mfcc_delta_1_std"", ""spectral_contrast_3_mean"", ""mfcc_1_std"", ""mfcc_delta_6_std"", ""mfcc_delta_7_std"", ""mfcc_10_std"", ""mfcc_delta_2_std"", ""mfcc_1_mean"", ""spec_bandwidth_mean"", ""mfcc_8_std"", ""mfcc_3_mean"", ""mfcc_9_std"", ""mfcc_4_std""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.8	0.88	0.58	0.25	227.0	12.0	8.0	53.0	0.82	0.99
1337	logistic_regression	ravdess	standard	True	explicit	all	20	"{""columns"": [""mfcc_delta_4_std"", ""zcr_mean"", ""mfcc_2_std"", ""mfcc_delta2_3_std"", ""mfcc_delta_5_std"", ""F0_std"", ""hnr"", ""mfcc_delta_6_std"", ""mfcc_6_std"", ""mfcc_7_std"", ""mfcc_1_std"", ""mfcc_7_mean"", ""mfcc_delta_10_std"", ""mfcc_4_std"", ""spec_rolloff_mean"", ""mfcc_delta_13_std"", ""mfcc_delta2_8_std"", ""mfcc_2_mean"", ""mfcc_delta_2_std"", ""spectral_contrast_3_mean""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.42	0.55	0.36	0.15	108.0	18.0	2.0	172.0	0.77	0.98
1342	logistic_regression	ravdess	standard	False	explicit	all	20	"{""columns"": [""mfcc_7_std"", ""mfcc_delta_4_std"", ""mfcc_delta_5_std"", ""spectral_contrast_2_mean"", ""mfcc_2_std"", ""mfcc_1_mean"", ""mfcc_delta2_3_std"", ""spectral_contrast_3_mean"", ""mfcc_delta_1_std"", ""mfcc_4_std"", ""mfcc_4_mean"", ""mfcc_3_mean"", ""mfcc_delta_7_std"", ""mfcc_delta_13_mean"", ""mfcc_10_std"", ""mfcc_delta_6_std"", ""mfcc_2_mean"", ""zcr_mean"", ""mfcc_1_std"", ""spectral_contrast_7_mean""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.79	0.88	0.56	0.19	228.0	10.0	10.0	52.0	0.77	0.98
